#Fastq_screen version: 0.14.1	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1012694454	1002745540	99.02	741468	0.07	328397	0.03	1327333	0.13	7551716	0.75
Ecoli	1012694454	1012693413	100.00	0	0.00	0	0.00	166	0.00	875	0.00
PhiX	1012694454	1011861899	99.92	0	0.00	0	0.00	821592	0.08	10963	0.00
Contamnts_Adaptrs	1012694454	1012694454	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	1012694454	1011720559	99.91	720	0.00	34	0.00	843103	0.08	130038	0.01
Bacteria_24k	1012694454	1006367241	99.38	189608	0.02	394219	0.04	635188	0.06	5108198	0.50
Protists_1k	1012694454	992219805	97.98	2850260	0.28	5074369	0.50	638494	0.06	11911526	1.18
Viruses	1012694454	1007946557	99.54	16257	0.00	5569	0.00	528134	0.05	4197937	0.41
Fungi_RefSeq_release	1012694454	1001921586	98.93	461889	0.05	151791	0.01	2293175	0.23	7866013	0.78
Coral	1012694454	1007594200	99.50	118257	0.01	33107	0.00	785232	0.08	4163658	0.41
Bird	1012694454	1005701780	99.31	335645	0.03	46568	0.00	1495618	0.15	5114843	0.51
Plant	1012694454	1008613365	99.59	82394	0.01	12739	0.00	685793	0.07	3300163	0.33

%Hit_no_genomes: 97.62
