#Fastq_screen version: 0.14.1	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	314565882	312983221	99.50	167028	0.05	64987	0.02	246721	0.08	1103925	0.35
Ecoli	314565882	314565798	100.00	0	0.00	0	0.00	3	0.00	81	0.00
PhiX	314565882	314565880	100.00	0	0.00	0	0.00	2	0.00	0	0.00
Contamnts_Adaptrs	314565882	314565882	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	314565882	314535385	99.99	162	0.00	5	0.00	4523	0.00	25807	0.01
Bacteria_24k	314565882	313880166	99.78	26288	0.01	43878	0.01	96142	0.03	519408	0.17
Protists_1k	314565882	311593250	99.06	536783	0.17	733246	0.23	125077	0.04	1577526	0.50
Viruses	314565882	314037648	99.83	3615	0.00	1347	0.00	88192	0.03	435080	0.14
Fungi_RefSeq_release	314565882	313161879	99.56	93479	0.03	26934	0.01	266308	0.08	1017282	0.32
Coral	314565882	313818074	99.77	24752	0.01	8259	0.00	133598	0.04	581199	0.18
Bird	314565882	313479381	99.66	84228	0.03	9882	0.00	286543	0.09	705848	0.22
Plant	314565882	313955364	99.80	17009	0.01	2416	0.00	112693	0.04	478400	0.15

%Hit_no_genomes: 98.82
