#Fastq_screen version: 0.14.1	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1012694454	1002949226	99.04	699771	0.07	323349	0.03	1303290	0.13	7418818	0.73
Ecoli	1012694454	1012693449	100.00	0	0.00	0	0.00	160	0.00	845	0.00
PhiX	1012694454	1011861867	99.92	0	0.00	0	0.00	817330	0.08	15257	0.00
Contamnts_Adaptrs	1012694454	1012693806	100.00	0	0.00	0	0.00	119	0.00	529	0.00
Vectors	1012694454	1011720330	99.91	2043	0.00	75	0.00	834011	0.08	137995	0.01
Bacteria_24k	1012694454	1006286369	99.37	181101	0.02	369034	0.04	645265	0.06	5212685	0.51
Protists_1k	1012694454	992060881	97.96	2907453	0.29	5176252	0.51	610751	0.06	11939117	1.18
Viruses	1012694454	1007869958	99.53	15992	0.00	5525	0.00	528264	0.05	4274715	0.42
Fungi_RefSeq_release	1012694454	1001912233	98.94	440293	0.04	149104	0.01	2294521	0.23	7898303	0.78
Coral	1012694454	1007546462	99.49	109055	0.01	33699	0.00	777666	0.08	4227572	0.42
Bird	1012694454	1005768521	99.32	313205	0.03	44185	0.00	1472589	0.15	5095954	0.50
Plant	1012694454	1008460024	99.58	78349	0.01	12203	0.00	690515	0.07	3453363	0.34

%Hit_no_genomes: 97.62
